route_id,speed,bus_count,message_count
61,-1,0,0
60,-1,0,0
59,-1,0,0
57,-1,0,0
56,-1,0,0
55,-1,0,0
54,25,1,12
53,26,1,10
52,27,1,15
51,20,1,8
50,23,1,5
49,21,1,9
48,20,1,11
47,22,1,3
46,23,1,6
45,22,1,9
44,29,1,2
43,25,1,1
42,25,1,3
41,28,2,11
40,25,2,13
39,28,2,14
38,26,2,12
37,25,1,10
36,27,1,10
35,-1,0,0
34,-1,0,0
33,-1,0,0
32,-1,0,0
31,-1,0,0
30,-1,0,0
7,-1,0,0
8,-1,0,0
9,26,1,13
10,27,1,8
11,25,1,12
12,-1,0,0
13,-1,0,0
14,-1,0,0
15,-1,0,0
16,-1,0,0
17,-1,0,0
19,-1,0,0
20,-1,0,0
21,-1,0,0
22,-1,0,0
23,-1,0,0
24,-1,0,0
25,-1,0,0
26,-1,0,0
27,31,1,2
28,-1,0,0
29,-1,0,0
1,26,1,11
2,27,1,11
3,-1,0,0
4,-1,0,0
5,-1,0,0
6,-1,0,0
155,23,1,11
154,21,1,4
153,31,1,3
152,-1,0,0
151,19,1,4
150,31,1,7
149,26,1,9
148,34,1,10
147,27,1,4
146,-1,0,0
145,-1,0,0
144,-1,0,0
143,-1,0,0
142,-1,0,0
141,-1,0,0
140,-1,0,0
139,27,1,1
138,27,1,7
137,30,1,19
136,24,1,16
135,27,1,2
134,-1,0,0
133,-1,0,0
132,-1,0,0
131,-1,0,0
