time,segment_id,speed,street,direction,from_street,to_street,length,street_heading,bus_count,message_count,hour,day_of_week,month,record_id,start_latitude,start_longitude,end_latitude,end_longitude,start_location,end_location,comments
2026-04-30T01:10:21.000,1249,-1,Halsted,SB,Pershing,43rd,0.5,S,0,0,1,5,4,1249-202604300610,41.823458,-87.646116,41.816184,-87.645915,"{'type': 'Point', 'coordinates': [-87.646116, 41.823458]}","{'type': 'Point', 'coordinates': [-87.645915, 41.816184]}",
2026-04-30T01:10:21.000,1250,-1,Halsted,SB,35th,Pershing,0.5,S,0,0,1,5,4,1250-202604300610,41.83075,-87.646295,41.823458,-87.646116,"{'type': 'Point', 'coordinates': [-87.646295, 41.83075]}","{'type': 'Point', 'coordinates': [-87.646116, 41.823458]}",
2026-04-30T01:10:21.000,1251,-1,Halsted,SB,31st,35th,0.5,S,0,0,1,5,4,1251-202604300610,41.838046,-87.646466,41.83075,-87.646295,"{'type': 'Point', 'coordinates': [-87.646466, 41.838046]}","{'type': 'Point', 'coordinates': [-87.646295, 41.83075]}",
2026-04-30T01:10:21.000,1252,23,Halsted,SB,Archer,31st,0.63,S,1,5,1,5,4,1252-202604300610,41.847196,-87.646677,41.838046,-87.646466,"{'type': 'Point', 'coordinates': [-87.646677, 41.847196]}","{'type': 'Point', 'coordinates': [-87.646466, 41.838046]}",
2026-04-30T01:10:21.000,1253,27,Halsted,SB,Cermak,Archer,0.4,S,1,5,1,5,4,1253-202604300610,41.852646,-87.646685,41.847196,-87.646677,"{'type': 'Point', 'coordinates': [-87.646685, 41.852646]}","{'type': 'Point', 'coordinates': [-87.646677, 41.847196]}",
2026-04-30T01:10:21.000,1254,23,Halsted,SB,16th,Cermak,0.5,S,1,10,1,5,4,1254-202604300610,41.859912,-87.646897,41.852646,-87.646685,"{'type': 'Point', 'coordinates': [-87.646897, 41.859912]}","{'type': 'Point', 'coordinates': [-87.646685, 41.852646]}",
2026-04-30T01:10:20.000,1302,23,Balbo,EB,Michigan,Lake Shore Dr,0.52,E,1,5,1,5,4,1302-202604300610,41.872992,-87.627565,41.873156,-87.617312,"{'type': 'Point', 'coordinates': [-87.627565, 41.872992]}","{'type': 'Point', 'coordinates': [-87.617312, 41.873156]}",
2026-04-30T01:10:20.000,1301,-1,Jackson,EB,Wacker,Michigain,0.63,W,0,0,1,5,4,1301-202604300610,41.878077,-87.636914,41.87828,-87.624306,"{'type': 'Point', 'coordinates': [-87.636914, 41.878077]}","{'type': 'Point', 'coordinates': [-87.624306, 41.87828]}",Oneway EB
2026-04-30T01:10:20.000,1276,-1,Columbus,NB,Roosevelt,Congress,0.57,S,0,0,1,5,4,1276-202604300610,41.867512,-87.620301,41.875774,-87.620488,"{'type': 'Point', 'coordinates': [-87.620301, 41.867512]}","{'type': 'Point', 'coordinates': [-87.620488, 41.875774]}",
2026-04-30T01:10:20.000,1246,-1,Halsted,SB,51st,55th,0.5,S,0,0,1,5,4,1246-202604300610,41.801585,-87.645536,41.794301,-87.64535,"{'type': 'Point', 'coordinates': [-87.645536, 41.801585]}","{'type': 'Point', 'coordinates': [-87.64535, 41.794301]}",
2026-04-30T01:10:20.000,1245,-1,Halsted,SB,55th,59th,0.5,S,0,0,1,5,4,1245-202604300610,41.794301,-87.64535,41.787025,-87.64516,"{'type': 'Point', 'coordinates': [-87.64535, 41.794301]}","{'type': 'Point', 'coordinates': [-87.64516, 41.787025]}",
2026-04-30T01:10:20.000,1244,20,Halsted,SB,59th,63rd,0.5,S,1,8,1,5,4,1244-202604300610,41.787025,-87.64516,41.779751,-87.644977,"{'type': 'Point', 'coordinates': [-87.64516, 41.787025]}","{'type': 'Point', 'coordinates': [-87.644977, 41.779751]}",
2026-04-30T01:10:20.000,1243,25,Halsted,SB,63rd,67th,0.5,S,1,12,1,5,4,1243-202604300610,41.779751,-87.644977,41.772472,-87.644787,"{'type': 'Point', 'coordinates': [-87.644977, 41.779751]}","{'type': 'Point', 'coordinates': [-87.644787, 41.772472]}",
